11:22:36.656 [main] INFO   - tns:medicines
11:22:36.666 [main] INFO   - tns:medicine
11:22:36.666 [main] INFO   - tns:name
11:22:36.666 [main] INFO   - tns:pharm
11:22:36.667 [main] INFO   - tns:group
11:22:36.667 [main] INFO   - tns:analogs
11:22:36.667 [main] INFO   - tns:analog
11:22:36.667 [main] INFO   - tns:analog
11:22:36.667 [main] INFO   - tns:versions
11:22:36.668 [main] INFO   - tns:version
11:22:36.668 [main] INFO   - tns:certificate
11:22:36.668 [main] INFO   - tns:certificate-number
11:22:36.669 [main] INFO   - tns:certificate-issued-date-time
11:22:36.669 [main] INFO   - tns:certificate-expires-date-time
11:22:36.669 [main] INFO   - tns:certificate-registered-organization
11:22:36.669 [main] INFO   - tns:package
11:22:36.670 [main] INFO   - tns:package-type
11:22:36.670 [main] INFO   - tns:package-elements-count-in
11:22:36.670 [main] INFO   - tns:package-price
11:22:36.670 [main] INFO   - tns:dosage
11:22:36.671 [main] INFO   - tns:dosage-active-agent
11:22:36.671 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.671 [main] INFO   - tns:medicine
11:22:36.671 [main] INFO   - tns:name
11:22:36.671 [main] INFO   - tns:pharm
11:22:36.671 [main] INFO   - tns:group
11:22:36.672 [main] INFO   - tns:analogs
11:22:36.672 [main] INFO   - tns:analog
11:22:36.672 [main] INFO   - tns:versions
11:22:36.672 [main] INFO   - tns:version
11:22:36.672 [main] INFO   - tns:certificate
11:22:36.673 [main] INFO   - tns:certificate-number
11:22:36.673 [main] INFO   - tns:certificate-issued-date-time
11:22:36.673 [main] INFO   - tns:certificate-expires-date-time
11:22:36.673 [main] INFO   - tns:certificate-registered-organization
11:22:36.673 [main] INFO   - tns:package
11:22:36.673 [main] INFO   - tns:package-type
11:22:36.674 [main] INFO   - tns:package-elements-count-in
11:22:36.674 [main] INFO   - tns:package-price
11:22:36.674 [main] INFO   - tns:dosage
11:22:36.674 [main] INFO   - tns:dosage-active-agent
11:22:36.674 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.674 [main] INFO   - tns:version
11:22:36.675 [main] INFO   - tns:certificate
11:22:36.675 [main] INFO   - tns:certificate-number
11:22:36.675 [main] INFO   - tns:certificate-issued-date-time
11:22:36.675 [main] INFO   - tns:certificate-expires-date-time
11:22:36.675 [main] INFO   - tns:certificate-registered-organization
11:22:36.676 [main] INFO   - tns:package
11:22:36.676 [main] INFO   - tns:package-type
11:22:36.676 [main] INFO   - tns:package-elements-count-in
11:22:36.676 [main] INFO   - tns:package-price
11:22:36.676 [main] INFO   - tns:dosage
11:22:36.676 [main] INFO   - tns:dosage-active-agent
11:22:36.677 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.677 [main] INFO   - tns:medicine
11:22:36.677 [main] INFO   - tns:name
11:22:36.678 [main] INFO   - tns:pharm
11:22:36.678 [main] INFO   - tns:group
11:22:36.678 [main] INFO   - tns:analogs
11:22:36.678 [main] INFO   - tns:versions
11:22:36.678 [main] INFO   - tns:version
11:22:36.679 [main] INFO   - tns:certificate
11:22:36.681 [main] INFO   - tns:certificate-number
11:22:36.684 [main] INFO   - tns:certificate-issued-date-time
11:22:36.684 [main] INFO   - tns:certificate-expires-date-time
11:22:36.684 [main] INFO   - tns:certificate-registered-organization
11:22:36.685 [main] INFO   - tns:package
11:22:36.685 [main] INFO   - tns:package-type
11:22:36.685 [main] INFO   - tns:package-elements-count-in
11:22:36.685 [main] INFO   - tns:package-price
11:22:36.685 [main] INFO   - tns:dosage
11:22:36.685 [main] INFO   - tns:dosage-active-agent
11:22:36.686 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.686 [main] INFO   - tns:medicine
11:22:36.686 [main] INFO   - tns:name
11:22:36.686 [main] INFO   - tns:pharm
11:22:36.686 [main] INFO   - tns:group
11:22:36.686 [main] INFO   - tns:analogs
11:22:36.686 [main] INFO   - tns:analog
11:22:36.687 [main] INFO   - tns:versions
11:22:36.687 [main] INFO   - tns:version
11:22:36.687 [main] INFO   - tns:certificate
11:22:36.687 [main] INFO   - tns:certificate-number
11:22:36.687 [main] INFO   - tns:certificate-issued-date-time
11:22:36.687 [main] INFO   - tns:certificate-expires-date-time
11:22:36.688 [main] INFO   - tns:certificate-registered-organization
11:22:36.688 [main] INFO   - tns:package
11:22:36.688 [main] INFO   - tns:package-type
11:22:36.688 [main] INFO   - tns:package-elements-count-in
11:22:36.688 [main] INFO   - tns:package-price
11:22:36.688 [main] INFO   - tns:dosage
11:22:36.688 [main] INFO   - tns:dosage-active-agent
11:22:36.689 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.690 [main] INFO   - tns:medicine
11:22:36.690 [main] INFO   - tns:name
11:22:36.690 [main] INFO   - tns:pharm
11:22:36.690 [main] INFO   - tns:group
11:22:36.690 [main] INFO   - tns:analogs
11:22:36.691 [main] INFO   - tns:analog
11:22:36.691 [main] INFO   - tns:analog
11:22:36.691 [main] INFO   - tns:versions
11:22:36.691 [main] INFO   - tns:version
11:22:36.691 [main] INFO   - tns:certificate
11:22:36.691 [main] INFO   - tns:certificate-number
11:22:36.691 [main] INFO   - tns:certificate-issued-date-time
11:22:36.692 [main] INFO   - tns:certificate-expires-date-time
11:22:36.692 [main] INFO   - tns:certificate-registered-organization
11:22:36.692 [main] INFO   - tns:package
11:22:36.693 [main] INFO   - tns:package-type
11:22:36.693 [main] INFO   - tns:package-elements-count-in
11:22:36.693 [main] INFO   - tns:package-price
11:22:36.693 [main] INFO   - tns:dosage
11:22:36.693 [main] INFO   - tns:dosage-active-agent
11:22:36.694 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.694 [main] INFO   - tns:version
11:22:36.694 [main] INFO   - tns:certificate
11:22:36.694 [main] INFO   - tns:certificate-number
11:22:36.694 [main] INFO   - tns:certificate-issued-date-time
11:22:36.694 [main] INFO   - tns:certificate-expires-date-time
11:22:36.695 [main] INFO   - tns:certificate-registered-organization
11:22:36.695 [main] INFO   - tns:package
11:22:36.695 [main] INFO   - tns:package-type
11:22:36.695 [main] INFO   - tns:package-elements-count-in
11:22:36.695 [main] INFO   - tns:package-price
11:22:36.695 [main] INFO   - tns:dosage
11:22:36.695 [main] INFO   - tns:dosage-active-agent
11:22:36.696 [main] INFO   - tns:dosage-maximum-use-per-day
11:22:36.697 [main] INFO   - tns:medicine
11:22:36.697 [main] INFO   - tns:name
11:22:36.697 [main] INFO   - tns:pharm
11:22:36.697 [main] INFO   - tns:group
11:22:36.697 [main] INFO   - tns:analogs
